"raceid","year","grand_prix","country","driverid","driver","laptimes","constructor_name"
850,2011,"German Grand Prix","Germany",1,"Lewis Hamilton","00:01:34.302","McLaren"
855,2011,"Japanese Grand Prix","Japan",18,"Jenson Button","00:01:36.568","McLaren"
856,2011,"Korean Grand Prix","Korea",20,"Sebastian Vettel","00:01:39.605","Red Bull"
857,2011,"Indian Grand Prix","India",20,"Sebastian Vettel","00:01:27.249","Red Bull"
859,2011,"Brazilian Grand Prix","Brazil",17,"Mark Webber","00:01:15.324","Red Bull"
860,2012,"Australian Grand Prix","Australia",18,"Jenson Button","00:01:29.187","McLaren"
863,2012,"Bahrain Grand Prix","Bahrain",20,"Sebastian Vettel","00:01:36.379","Red Bull"
874,2012,"Japanese Grand Prix","Japan",20,"Sebastian Vettel","00:01:35.774","Red Bull"
880,2013,"Australian Grand Prix","Australia",8,"Kimi Räikkönen","00:01:29.274","Lotus F1"
883,2013,"Bahrain Grand Prix","Bahrain",20,"Sebastian Vettel","00:01:36.961","Red Bull"
891,2013,"Belgian Grand Prix","Belgium",20,"Sebastian Vettel","00:01:50.756","Red Bull"
893,2013,"Singapore Grand Prix","Singapore",20,"Sebastian Vettel","00:01:48.574","Red Bull"
894,2013,"Korean Grand Prix","Korea",20,"Sebastian Vettel","00:01:41.38","Red Bull"
898,2013,"United States Grand Prix","USA",20,"Sebastian Vettel","00:01:39.856","Red Bull"
900,2014,"Australian Grand Prix","Australia",3,"Nico Rosberg","00:01:32.478","Mercedes"
901,2014,"Malaysian Grand Prix","Malaysia",1,"Lewis Hamilton","00:01:43.066","Mercedes"
908,2014,"British Grand Prix","UK",1,"Lewis Hamilton","00:01:37.176","Mercedes"
912,2014,"Italian Grand Prix","Italy",1,"Lewis Hamilton","00:01:28.004","Mercedes"
913,2014,"Singapore Grand Prix","Singapore",1,"Lewis Hamilton","00:01:50.417","Mercedes"
914,2014,"Japanese Grand Prix","Japan",1,"Lewis Hamilton","00:01:51.6","Mercedes"
926,2015,"Australian Grand Prix","Australia",1,"Lewis Hamilton","00:01:30.945","Mercedes"
928,2015,"Chinese Grand Prix","China",1,"Lewis Hamilton","00:01:42.208","Mercedes"
933,2015,"Austrian Grand Prix","Austria",3,"Nico Rosberg","00:01:11.235","Mercedes"
938,2015,"Italian Grand Prix","Italy",1,"Lewis Hamilton","00:01:26.672","Mercedes"
940,2015,"Japanese Grand Prix","Japan",1,"Lewis Hamilton","00:01:36.145","Mercedes"
943,2015,"Mexican Grand Prix","Mexico",3,"Nico Rosberg","00:01:20.521","Mercedes"
949,2016,"Bahrain Grand Prix","Bahrain",3,"Nico Rosberg","00:01:34.482","Mercedes"
951,2016,"Russian Grand Prix","Russia",3,"Nico Rosberg","00:01:39.094","Mercedes"
953,2016,"Monaco Grand Prix","Monaco",1,"Lewis Hamilton","00:01:17.939","Mercedes"
955,2016,"European Grand Prix","Azerbaijan",3,"Nico Rosberg","00:01:46.485","Mercedes"
956,2016,"Austrian Grand Prix","Austria",1,"Lewis Hamilton","00:01:08.411","Mercedes"
970,2017,"Chinese Grand Prix","China",1,"Lewis Hamilton","00:01:35.378","Mercedes"
973,2017,"Spanish Grand Prix","Spain",1,"Lewis Hamilton","00:01:23.593","Mercedes"
975,2017,"Canadian Grand Prix","Canada",1,"Lewis Hamilton","00:01:14.551","Mercedes"
978,2017,"British Grand Prix","UK",1,"Lewis Hamilton","00:01:30.621","Mercedes"
982,2017,"Singapore Grand Prix","Singapore",1,"Lewis Hamilton","00:01:45.008","Mercedes"
988,2017,"Abu Dhabi Grand Prix","UAE",822,"Valtteri Bottas","00:01:40.65","Mercedes"
991,2018,"Chinese Grand Prix","China",817,"Daniel Ricciardo","00:01:35.785","Red Bull"
998,2018,"British Grand Prix","UK",20,"Sebastian Vettel","00:01:30.696","Ferrari"
999,2018,"German Grand Prix","Germany",1,"Lewis Hamilton","00:01:15.545","Mercedes"
1002,2018,"Italian Grand Prix","Italy",1,"Lewis Hamilton","00:01:22.497","Mercedes"
1010,2019,"Australian Grand Prix","Australia",822,"Valtteri Bottas","00:01:25.58","Mercedes"
1014,2019,"Spanish Grand Prix","Spain",1,"Lewis Hamilton","00:01:18.492","Mercedes"
1018,2019,"Austrian Grand Prix","Austria",830,"Max Verstappen","00:01:07.475","Red Bull"
1019,2019,"British Grand Prix","UK",1,"Lewis Hamilton","00:01:27.369","Mercedes"
1020,2019,"German Grand Prix","Germany",830,"Max Verstappen","00:01:16.645","Red Bull"
1025,2019,"Russian Grand Prix","Russia",1,"Lewis Hamilton","00:01:35.761","Mercedes"
1030,2019,"Abu Dhabi Grand Prix","UAE",1,"Lewis Hamilton","00:01:39.283","Mercedes"
1033,2020,"Hungarian Grand Prix","Hungary",1,"Lewis Hamilton","00:01:16.627","Mercedes"
1039,2020,"Tuscan Grand Prix","Italy",1,"Lewis Hamilton","00:01:18.833","Mercedes"
1040,2020,"Russian Grand Prix","Russia",822,"Valtteri Bottas","00:01:37.03","Mercedes"
1042,2020,"Portuguese Grand Prix","Portugal",1,"Lewis Hamilton","00:01:18.75","Mercedes"
1043,2020,"Emilia Romagna Grand Prix","Italy",1,"Lewis Hamilton","00:01:15.484","Mercedes"
1059,2021,"French Grand Prix","France",830,"Max Verstappen","00:01:36.404","Red Bull"
1060,2021,"Austrian Grand Prix","Austria",830,"Max Verstappen","00:01:06.2","Red Bull"
1063,2021,"Belgian Grand Prix","Belgium",830,"Max Verstappen","00:03:27.071","Red Bull"
1065,2021,"Italian Grand Prix","Italy",817,"Daniel Ricciardo","00:01:24.812","McLaren"
1067,2021,"Turkish Grand Prix","Turkey",822,"Valtteri Bottas","00:01:30.432","Mercedes"
1072,2021,"Saudi Arabian Grand Prix","Saudi Arabia",1,"Lewis Hamilton","00:01:30.734","Mercedes"
1073,2021,"Abu Dhabi Grand Prix","UAE",830,"Max Verstappen","00:01:26.103","Red Bull"
1074,2022,"Bahrain Grand Prix","Bahrain",844,"Charles Leclerc","00:01:34.57","Ferrari"
1076,2022,"Australian Grand Prix","Australia",844,"Charles Leclerc","00:01:20.26","Ferrari"
1077,2022,"Emilia Romagna Grand Prix","Italy",830,"Max Verstappen","00:01:18.446","Red Bull"
1078,2022,"Miami Grand Prix","USA",830,"Max Verstappen","00:01:31.361","Red Bull"
1087,2022,"Belgian Grand Prix","Belgium",830,"Max Verstappen","00:01:49.354","Red Bull"
1088,2022,"Dutch Grand Prix","Netherlands",830,"Max Verstappen","00:01:13.652","Red Bull"
1095,2022,"SÃ£o Paulo Grand Prix","Brazil",847,"George Russell","00:01:13.785","Mercedes"
1102,2023,"Miami Grand Prix","USA",830,"Max Verstappen","00:01:29.708","Red Bull"
1105,2023,"Spanish Grand Prix","Spain",830,"Max Verstappen","00:01:16.33","Red Bull"
1107,2023,"Austrian Grand Prix","Austria",830,"Max Verstappen","00:01:07.012","Red Bull"
1108,2023,"British Grand Prix","UK",830,"Max Verstappen","00:01:30.275","Red Bull"
1109,2023,"Hungarian Grand Prix","Hungary",830,"Max Verstappen","00:01:20.504","Red Bull"
1114,2023,"Japanese Grand Prix","Japan",830,"Max Verstappen","00:01:34.183","Red Bull"
1115,2023,"Qatar Grand Prix","Qatar",830,"Max Verstappen","00:01:24.319","Red Bull"
1120,2023,"Abu Dhabi Grand Prix","UAE",830,"Max Verstappen","00:01:26.993","Red Bull"
1121,2024,"Bahrain Grand Prix","Bahrain",830,"Max Verstappen","00:01:32.608","Red Bull"
1124,2024,"Japanese Grand Prix","Japan",830,"Max Verstappen","00:01:33.706","Red Bull"
